fecha,precio
2026-08-01,59.16
2026-08-02,60.75
2026-08-03,58.66
2026-08-04,57.82
2026-08-05,56.10
2026-08-06,52.41
2026-08-07,55.84
2026-08-08,54.90
2026-08-09,55.95
2026-08-10,56.62
2026-08-11,60.44
2026-08-12,59.05
2026-08-13,60.45
2026-08-14,60.77
2026-08-15,60.81
2026-08-16,62.41
2026-08-17,63.46
2026-08-18,61.77
2026-08-19,63.61
2026-08-20,63.47
2026-08-21,65.61
2026-08-22,66.31
2026-08-23,66.68
2026-08-24,66.22
2026-08-25,67.97
2026-08-26,66.10
2026-08-27,65.86
2026-08-28,68.38
2026-08-29,66.67
2026-08-30,66.70
