y,m,precio
2023,1,60.62
2023,2,52.17
2023,3,43.67
2023,4,38.09
2023,5,29.23
2023,6,30.93
2023,7,30.55
2023,8,33.86
2023,9,36.93
2023,10,43.11
2023,11,37.99
2023,12,34.54
2024,1,29.92
2024,2,25.50
2024,3,26.72
2024,4,29.21
2024,5,31.84
2024,6,34.55
2024,7,32.42
2024,8,38.45
2024,9,36.68
2024,10,40.41
2024,11,44.16
2024,12,46.23
2025,1,48.47
2025,2,50.40
2025,3,41.41
2025,4,33.76
2025,5,34.02
2025,6,36.67
2025,7,33.94
2025,8,32.58
2025,9,31.84
2025,10,31.22
2025,11,30.15
2025,12,27.96
2026,1,35.40
2026,2,31.64
2026,3,51.75
2026,4,44.40
2026,5,46.15
2026,6,45.12
2026,7,55.03
2026,8,61.87
