y,m,p1,p2,p3,p4,p5,p6
2023,1,0.10279,0.08306,,,,0.04928
2023,2,0.14911,0.13941,,,,0.12311
2023,3,,0.09642,0.08468,,,0.08814
2023,4,,,,0.0816,0.07113,0.0711
2023,5,,,,0.07783,0.07274,0.07295
2023,6,,,0.09868,0.09654,,0.08851
2023,7,0.099,0.09657,,,,0.08432
2023,8,,,0.10185,0.09733,,0.09261
2023,9,,,0.11303,0.10356,,0.09848
2023,10,,,,0.10093,0.08884,0.08542
2023,11,,0.07967,0.07312,,,0.05176
2023,12,0.08833,0.08225,,,,0.06365
2024,1,0.08869,0.08048,,,,0.06423
2024,2,0.04734,0.03985,,,,0.03621
2024,3,,0.02995,0.02173,,,0.01531
2024,4,,,,0.014,0.01397,0.01337
2024,5,,,,0.02739,0.0275,0.03306
2024,6,,,0.06281,0.0594,,0.05189
2024,7,0.07517,0.073,,,,0.07045
2024,8,,,0.0989,0.09615,,0.08558
2024,9,,,0.07846,0.06545,,0.0725
2024,10,,,,0.08416,0.06969,0.0595
2024,11,,0.11873,0.11559,,,0.09409
2024,12,0.12771,0.12394,,,,0.10005
2025,1,0.11677,0.10875,,,,0.08304
2025,2,0.12383,0.10691,,,,0.10093
2025,3,,0.06889,0.05535,,,0.04494
2025,4,,,,0.02742,0.02611,0.02677
2025,5,,,,0.01571,0.01798,0.01711
2025,6,,,0.07118,0.06846,,0.07488
2025,7,0.06657,0.06987,,,,0.07197
2025,8,,,0.0668,0.06331,,0.07084
2025,9,,,0.06231,0.0516,,0.06431
2025,10,,,,0.08625,0.07305,0.07113
2025,11,,0.06467,0.06322,,,0.05434
2025,12,0.09152,0.08801,,,,0.06796
2026,1,0.08496,0.07575,,,,0.06468
2026,2,0.02711,0.01335,,,,0.01216
2026,3,,0.05248,0.03921,,,0.03735
2026,4,,,,0.03751,0.03525,0.04811
2026,5,,,,0.04241,0.04764,0.06142
2026,6,,,0.05528,0.06107,,0.08086
2026,7,0.09611,0.09802,,,,0.11238
2026,8,,,0.10352,0.09999,,0.13164
