y,m,p1,p2,p3
2023,1,0.10304,0.08528,0.04928
2023,2,0.14863,0.14111,0.12311
2023,3,0.09548,0.08709,0.08814
2023,4,0.08031,0.07497,0.07088
2023,5,0.07675,0.07446,0.07295
2023,6,0.09821,0.09727,0.08851
2023,7,0.09831,0.09756,0.08432
2023,8,0.10144,0.0983,0.09261
2023,9,0.11233,0.10545,0.09848
2023,10,0.0998,0.09149,0.08542
2023,11,0.08009,0.07352,0.05176
2023,12,0.08818,0.08316,0.06365
2024,1,0.08842,0.08177,0.06423
2024,2,0.04724,0.04088,0.03621
2024,3,0.03233,0.02246,0.01494
2024,4,0.01418,0.0138,0.01337
2024,5,0.02666,0.02822,0.03306
2024,6,0.06157,0.06107,0.05189
2024,7,0.07452,0.07392,0.07045
2024,8,0.09821,0.09719,0.08558
2024,9,0.07683,0.06871,0.0725
2024,10,0.08348,0.07218,0.0595
2024,11,0.11843,0.11628,0.09409
2024,12,0.1267,0.12543,0.10005
2025,1,0.11618,0.11035,0.08304
2025,2,0.1231,0.10975,0.10093
2025,3,0.07069,0.05524,0.04494
2025,4,0.02763,0.02789,0.02598
2025,5,0.01629,0.01712,0.01711
2025,6,0.07062,0.06936,0.07488
2025,7,0.06641,0.06963,0.07197
2025,8,0.06575,0.06478,0.07084
2025,9,0.06124,0.05401,0.06431
2025,10,0.08476,0.0762,0.07113
2025,11,0.06549,0.06259,0.05434
2025,12,0.09125,0.08872,0.06796
2026,1,0.08457,0.07729,0.06468
2026,2,0.0284,0.01378,0.01216
2026,3,0.05487,0.03848,0.03735
2026,4,0.03736,0.03771,0.04674
2026,5,0.04326,0.04813,0.06012
2026,6,0.0555,0.06013,0.08086
2026,7,0.09503,0.09886,0.11238
2026,8,0.10001,0.10395,0.13164
